,df_australia,train_australia,test_australia,predictions_australia,forecast_australia,forecast_yearly_avg_australia,10_years_mean_australia,df_austria,train_austria,test_austria,predictions_austria,forecast_austria,forecast_yearly_avg_austria,10_years_mean_austria,df_canada,train_canada,test_canada,predictions_canada,forecast_canada,forecast_yearly_avg_canada,10_years_mean_canada,df_denmark_europe,train_denmark_europe,test_denmark_europe,predictions_denmark_europe,forecast_denmark_europe,forecast_yearly_avg_denmark_europe,10_years_mean_denmark_europe,df_estonia,train_estonia,test_estonia,predictions_estonia,forecast_estonia,forecast_yearly_avg_estonia,10_years_mean_estonia,df_finland,train_finland,test_finland,predictions_finland,forecast_finland,forecast_yearly_avg_finland,10_years_mean_finland,df_germany,train_germany,test_germany,predictions_germany,forecast_germany,forecast_yearly_avg_germany,10_years_mean_germany,df_italy,train_italy,test_italy,predictions_italy,forecast_italy,forecast_yearly_avg_italy,10_years_mean_italy,df_netherlands_europe,train_netherlands_europe,test_netherlands_europe,predictions_netherlands_europe,forecast_netherlands_europe,forecast_yearly_avg_netherlands_europe,10_years_mean_netherlands_europe,df_new_zealand,train_new_zealand,test_new_zealand,predictions_new_zealand,forecast_new_zealand,forecast_yearly_avg_new_zealand,10_years_mean_new_zealand,df_norway,train_norway,test_norway,predictions_norway,forecast_norway,forecast_yearly_avg_norway,10_years_mean_norway,df_portugal,train_portugal,test_portugal,predictions_portugal,forecast_portugal,forecast_yearly_avg_portugal,10_years_mean_portugal,df_slovenia,train_slovenia,test_slovenia,predictions_slovenia,forecast_slovenia,forecast_yearly_avg_slovenia,10_years_mean_slovenia,df_south_africa,train_south_africa,test_south_africa,predictions_south_africa,forecast_south_africa,forecast_yearly_avg_south_africa,10_years_mean_south_africa,df_switzerland,train_switzerland,test_switzerland,predictions_switzerland,forecast_switzerland,forecast_yearly_avg_switzerland,10_years_mean_switzerland,global_avg,global_avg,global_avg,SARIMA predictions for global average,SARIMA forecast for global average,SARIMA forecast for Switzerland,avg_temp
1900-01-01,27.514,27.514,,,,,,-2.2780000000000005,-2.2780000000000005,,,,,,-23.61,-23.61,,,,,,-0.431,-0.431,,,,,,-7.415,-7.415,,,,,,-11.824000000000002,-11.824000000000002,,,,,,0.364,0.364,,,,,,5.402,5.402,,,,,,2.668,2.668,,,,,,13.733,13.733,,,,,,-8.844000000000003,-8.844000000000003,,,,,,7.849,7.849,,,,,,1.254,1.254,,,,,,21.867,21.867,,,,,,-0.7199999999999998,-0.7199999999999998,,,,,,13.441970338983051,13.441970338983051,,,,,
1900-02-01,29.122,29.122,,,,,,0.2739999999999999,0.2739999999999999,,,,,,-22.475,-22.475,,,,,,-1.482,-1.482,,,,,,-8.279,-8.279,,,,,,-15.800999999999998,-15.800999999999998,,,,,,1.119,1.119,,,,,,7.366999999999999,7.366999999999999,,,,,,2.3480000000000003,2.3480000000000003,,,,,,13.701,13.701,,,,,,-13.377,-13.377,,,,,,10.254,10.254,,,,,,4.259,4.259,,,,,,22.318,22.318,,,,,,1.096,1.096,,,,,,14.764161016949155,14.764161016949155,,,,,
1900-03-01,25.277,25.277,,,,,,-1.3569999999999998,-1.3569999999999998,,,,,,-16.527,-16.527,,,,,,0.6380000000000001,0.6380000000000001,,,,,,-4.394,-4.394,,,,,,-7.537000000000001,-7.537000000000001,,,,,,0.8729999999999998,0.8729999999999998,,,,,,5.893000000000002,5.893000000000002,,,,,,2.647,2.647,,,,,,13.95,13.95,,,,,,-6.757000000000001,-6.757000000000001,,,,,,9.207,9.207,,,,,,2.635,2.635,,,,,,20.556,20.556,,,,,,-0.5599999999999996,-0.5599999999999996,,,,,,16.262275423728813,16.262275423728813,,,,,
1900-04-01,21.253,21.253,,,,,,4.561,4.561,,,,,,-4.487,-4.487,,,,,,4.812,4.812,,,,,,2.086,2.086,,,,,,-1.937,-1.937,,,,,,6.551,6.551,,,,,,9.725,9.725,,,,,,7.1370000000000005,7.1370000000000005,,,,,,11.436,11.436,,,,,,-3.225,-3.225,,,,,,14.233,14.233,,,,,,7.903,7.903,,,,,,18.604000000000006,18.604000000000006,,,,,,5.335,5.335,,,,,,18.440466101694913,18.440466101694913,,,,,
1900-05-01,17.180999999999994,17.180999999999994,,,,,,9.62,9.62,,,,,,3.2310000000000003,3.2310000000000003,,,,,,9.687,9.687,,,,,,8.270999999999999,8.270999999999999,,,,,,4.401,4.401,,,,,,10.953,10.953,,,,,,14.543,14.543,,,,,,10.845,10.845,,,,,,7.852,7.852,,,,,,1.874,1.874,,,,,,15.15,15.15,,,,,,13.204,13.204,,,,,,15.012,15.012,,,,,,9.587000000000002,9.587000000000002,,,,,,20.33768220338983,20.33768220338983,,,,,
1900-06-01,15.472,15.472,,,,,,14.664,14.664,,,,,,9.962,9.962,,,,,,15.455,15.455,,,,,,14.35,14.35,,,,,,11.478000000000002,11.478000000000002,,,,,,16.155,16.155,,,,,,19.221,19.221,,,,,,15.602,15.602,,,,,,5.16,5.16,,,,,,8.549000000000001,8.549000000000001,,,,,,19.209,19.209,,,,,,17.919999999999995,17.919999999999995,,,,,,11.377,11.377,,,,,,14.771,14.771,,,,,,21.77026160337551,21.77026160337551,,,,,
1900-07-01,12.986,12.986,,,,,,17.186,17.186,,,,,,12.557,12.557,,,,,,17.227,17.227,,,,,,16.67,16.67,,,,,,12.535,12.535,,,,,,18.703,18.703,,,,,,21.789,21.789,,,,,,18.515,18.515,,,,,,5.186,5.186,,,,,,8.911999999999997,8.911999999999997,,,,,,22.846,22.846,,,,,,20.675,20.675,,,,,,11.254,11.254,,,,,,17.327,17.327,,,,,,22.605016877637144,22.605016877637144,,,,,
1900-08-01,16.034000000000002,16.034000000000002,,,,,,14.837,14.837,,,,,,11.18,11.18,,,,,,16.563,16.563,,,,,,17.088,17.088,,,,,,13.235,13.235,,,,,,16.678,16.678,,,,,,20.525,20.525,,,,,,16.352,16.352,,,,,,7.145,7.145,,,,,,8.996,8.996,,,,,,21.078000000000003,21.078000000000003,,,,,,18.157,18.157,,,,,,12.045,12.045,,,,,,14.657,14.657,,,,,,22.364131355932198,22.364131355932198,,,,,
1900-09-01,18.532,18.532,,,,,,13.088,13.088,,,,,,5.561,5.561,,,,,,13.435,13.435,,,,,,10.178,10.178,,,,,,6.275,6.275,,,,,,14.175,14.175,,,,,,19.121,19.121,,,,,,14.524,14.524,,,,,,7.858999999999999,7.858999999999999,,,,,,4.624,4.624,,,,,,20.329,20.329,,,,,,16.282,16.282,,,,,,16.694000000000003,16.694000000000003,,,,,,13.835,13.835,,,,,,21.23720762711864,21.23720762711864,,,,,
1900-10-01,23.156,23.156,,,,,,7.239000000000001,7.239000000000001,,,,,,-1.842,-1.842,,,,,,8.597999999999999,8.597999999999999,,,,,,6.01,6.01,,,,,,2.314,2.314,,,,,,8.74,8.74,,,,,,15.428999999999998,15.428999999999998,,,,,,9.989,9.989,,,,,,10.092,10.092,,,,,,-0.2459999999999999,-0.2459999999999999,,,,,,15.968,15.968,,,,,,11.014,11.014,,,,,,17.846,17.846,,,,,,8.095,8.095,,,,,,19.37397457627117,19.37397457627117,,,,,
