dt,avg_temp_australia,avg_temp_austria,avg_temp_belgium,avg_temp_canada,avg_temp_denmark (europe),avg_temp_estonia,avg_temp_finland,avg_temp_germany,avg_temp_italy,avg_temp_netherlands (europe),avg_temp_new zealand,avg_temp_norway,avg_temp_portugal,avg_temp_slovenia,avg_temp_south africa,avg_temp_sweden,avg_temp_switzerland
1900-01-01,27.514,-2.2780000000000005,2.8680000000000003,-23.61,-0.431,-7.415,-11.824000000000002,0.364,5.402,2.668,13.733,-8.844000000000003,7.849,1.254,21.867,-9.266,-0.7199999999999998
1900-02-01,29.122,0.2739999999999999,3.017,-22.475,-1.482,-8.279,-15.800999999999998,1.119,7.366999999999999,2.3480000000000003,13.701,-13.377,10.254,4.259,22.318,-13.401,1.096
1900-03-01,25.277,-1.3569999999999998,3.0809999999999995,-16.527,0.6380000000000001,-4.394,-7.537000000000001,0.8729999999999998,5.893000000000002,2.647,13.95,-6.757000000000001,9.207,2.635,20.556,-5.212999999999999,-0.5599999999999996
1900-04-01,21.253,4.561,8.155999999999999,-4.487,4.812,2.086,-1.937,6.551,9.725,7.1370000000000005,11.436,-3.225,14.233,7.903,18.604000000000006,-0.3529999999999999,5.335
1900-05-01,17.180999999999994,9.62,11.693,3.2310000000000003,9.687,8.270999999999999,4.401,10.953,14.543,10.845,7.852,1.874,15.15,13.204,15.012,5.17,9.587000000000002
1900-06-01,15.472,14.664,16.486,9.962,15.455,14.35,11.478000000000002,16.155,19.221,15.602,5.16,8.549000000000001,19.209,17.919999999999995,11.377,12.642,14.771
1900-07-01,12.986,17.186,19.542,12.557,17.227,16.67,12.535,18.703,21.789,18.515,5.186,8.911999999999997,22.846,20.675,11.254,12.902,17.327
1900-08-01,16.034000000000002,14.837,16.648,11.18,16.563,17.088,13.235,16.678,20.525,16.352,7.145,8.996,21.078000000000003,18.157,12.045,12.776,14.657
1900-09-01,18.532,13.088,15.013,5.561,13.435,10.178,6.275,14.175,19.121,14.524,7.858999999999999,4.624,20.329,16.282,16.694000000000003,7.489000000000001,13.835
1900-10-01,23.156,7.239000000000001,10.039,-1.842,8.597999999999999,6.01,2.314,8.74,15.428999999999998,9.989,10.092,-0.2459999999999999,15.968,11.014,17.846,2.6260000000000003,8.095
1900-11-01,26.644,3.222,6.2200000000000015,-14.211,4.8900000000000015,-0.103,-2.931,4.678999999999999,10.467,6.343999999999999,10.916,-3.417,10.956,7.013,19.958,-1.835,3.2710000000000004
1900-12-01,28.028,-1.013,4.685,-19.564,3.536,-3.639,-10.202,2.435,6.494,5.065,12.62,-8.25,9.462,1.374,21.101,-7.512,0.968
1901-01-01,28.035,-6.996,0.0359999999999998,-24.737,-1.727,-3.984,-6.178,-3.991,2.92,-0.5539999999999998,13.757,-7.460000000000001,8.062000000000001,-3.693,22.154,-7.106000000000001,-3.269
1901-02-01,27.324,-7.045,-1.6020000000000003,-21.64,-2.371,-8.689,-14.308,-4.162,1.808,-1.366,13.85,-10.925999999999998,6.818,-3.335,22.172,-10.935,-5.877999999999999
1901-03-01,24.906,0.8340000000000002,3.788,-15.797,1.4050000000000002,-4.063,-7.366,2.305,7.44,3.431,12.116,-6.759,10.014,4.385999999999999,19.540000000000006,-5.085,0.9330000000000004
1901-04-01,21.272,6.207999999999999,9.368,-6.002999999999999,6.311,3.669,0.273,7.989000000000001,11.245,8.525,10.946,-1.275,13.807,9.376,17.98,1.539,6.638999999999999
1901-05-01,18.083,11.091,13.047,3.083,11.762,10.448,6.093,12.817,14.196,12.2,7.822999999999999,3.828,16.468999999999998,13.918,13.056,7.58,10.865
1901-06-01,14.034,14.861,16.076,8.703000000000001,14.268,16.923000000000002,14.33,15.729,19.693,14.866,6.817,8.911000000000003,21.007,18.287,11.231,13.113,14.955
1901-07-01,12.839,16.413,19.145,12.863,19.013,19.73,17.47,18.625,21.572,18.59,3.844,13.083,22.915,19.886,10.34,17.915,16.281000000000002
1901-08-01,15.286,14.927,17.384999999999998,11.479,17.043,17.881999999999994,14.238,16.822,21.181,16.996000000000002,5.449999999999998,10.186000000000002,22.82,18.549000000000003,13.564,14.35,15.235
1901-09-01,19.972,11.805,14.713,4.823,13.899,12.216,9.38,13.643,18.488,14.527,8.258,7.215,18.605,14.89,14.81,9.725,12.643
1901-10-01,21.998,7.351,10.033,-1.659,10.149,7.681,5.4780000000000015,9.104,13.889,10.371,10.103,3.153,14.36,10.72,17.222,6.122999999999999,7.2010000000000005
1901-11-01,26.815,-0.3169999999999999,4.248,-13.113,3.863,-1.9330000000000005,-6.73,2.64,7.864,5.033,11.026,-5.819,10.292,3.1060000000000003,19.407,-4.332,0.8500000000000001
1901-12-01,28.427,-1.2539999999999998,2.358,-18.629,0.908,-7.117999999999999,-13.550999999999998,0.652,6.171,2.6180000000000003,12.457,-9.971,7.046999999999999,2.393,21.434,-9.623,-0.924
1902-01-01,28.013,-0.7980000000000005,3.653,-22.786,2.89,-5.587999999999999,-13.324000000000002,2.344,5.0680000000000005,4.212,14.316,-8.216000000000001,8.351,1.874,21.221,-7.631,-0.4839999999999998
1902-02-01,27.423,-2.023,0.7419999999999998,-17.884,-1.865,-6.905,-11.651,-1.2000000000000002,6.462000000000001,-0.0389999999999997,14.415,-9.972,9.471,2.16,22.239,-8.966000000000001,-0.955
1902-03-01,25.583,1.3630000000000002,6.321000000000001,-16.288,2.269,-3.526,-9.983,3.67,8.051,5.319,13.555,-8.124,12.186,4.992999999999999,20.225,-6.4060000000000015,3.01
1902-04-01,21.946,6.681,9.409,-6.723,5.0950000000000015,-0.0529999999999999,-3.612,7.778,12.207999999999998,8.085,10.157,-2.863,13.247,9.937,16.48,-0.894,8.147
1902-05-01,17.756,6.962000000000001,9.578,1.983,8.308,8.088999999999999,4.105,8.794,12.179,8.902999999999999,6.737,1.7990000000000002,15.062,10.262,14.363,4.566,7.1720000000000015
1902-06-01,14.725,12.953,15.568,7.235,14.463,12.878,9.156,15.305,17.706,15.17,5.766,6.751,17.741,16.078,10.016,10.183,13.049
1902-07-01,14.007,15.232,16.848,12.757,14.362000000000002,14.321000000000002,12.057,16.163,22.2,15.59,4.424,8.048,21.571,19.193,10.997,11.433,16.477
1902-08-01,15.528,14.702,16.019000000000002,11.443,13.392,13.57,11.436,15.242,21.578000000000007,15.019,5.321000000000001,7.949000000000002,21.364,18.707,12.332,10.963,15.116
1902-09-01,19.222,11.423,13.797,5.055,11.285,9.671,6.218999999999999,12.534,18.716,13.174,5.815999999999999,3.978,18.935,15.151000000000002,14.504,6.706,12.226
1902-10-01,22.663,5.822,8.589,-1.6669999999999998,7.455999999999999,3.093,-1.5939999999999996,7.049,13.521,8.561,8.190999999999999,-1.5250000000000004,14.888,9.876,17.414,0.6789999999999998,6.626
1902-11-01,25.766,-0.7980000000000003,4.417,-12.992,3.087,-1.892,-5.23,1.5939999999999994,7.792000000000001,4.404,10.298,-4.516,11.892,2.355,18.679,-3.091,1.2280000000000002
